OpportunityId,AccountId,RepId,ProductId,CreatedDate,CloseDate,Stage,Amount,IsWon
1,52,10,2,2024-10-14,2024-11-17,Closed Lost,6200.0,False
2,93,19,3,2025-03-28,2025-06-04,Closed Lost,13500.0,False
3,15,15,1,2025-08-17,2025-09-09,Closed Lost,8600.0,False
4,72,5,2,2025-09-11,2025-10-07,Closed Lost,7500.0,False
5,61,15,2,2024-10-17,2024-10-26,Closed Lost,6300.0,False
6,21,20,2,2024-12-18,,Qualified,1800.0,False
7,83,2,1,2025-05-02,,Qualified,10600.0,False
8,87,13,1,2025-02-18,,Qualified,4800.0,False
9,75,16,1,2025-10-11,2026-03-02,Closed Lost,4000.0,False
10,75,15,3,2025-04-14,2025-09-08,Closed Won,9200.0,True
11,88,10,3,2024-11-10,2024-11-19,Closed Won,13600.0,True
12,100,14,1,2024-09-13,2024-12-01,Closed Lost,3500.0,False
13,24,10,2,2025-12-12,,Negotiation,13400.0,False
14,3,14,3,2025-11-05,2026-02-24,Closed Lost,5200.0,False
15,22,9,1,2024-11-23,2025-03-27,Closed Lost,11200.0,False
16,53,14,2,2025-03-02,2025-08-09,Closed Lost,10800.0,False
17,2,3,3,2024-12-03,2025-01-12,Closed Lost,7300.0,False
18,88,20,2,2025-09-22,,Qualified,8200.0,False
19,30,16,2,2024-08-29,2024-11-05,Closed Won,6600.0,True
20,38,2,2,2025-04-10,2025-08-14,Closed Won,9200.0,True
21,2,10,2,2025-04-19,2025-08-18,Closed Lost,9200.0,False
22,64,3,3,2024-11-20,,Proposal,5100.0,False
23,60,11,3,2025-04-11,2025-06-25,Closed Won,4100.0,True
24,21,11,3,2025-11-22,2026-05-16,Closed Lost,13400.0,False
25,33,13,1,2025-04-12,2025-07-04,Closed Won,9000.0,True
26,76,7,3,2025-08-11,,Proposal,12500.0,False
27,58,17,2,2025-07-21,2025-10-24,Closed Lost,5800.0,False
28,22,2,3,2025-11-04,2025-12-27,Closed Won,5400.0,True
29,89,12,2,2025-09-01,,Negotiation,4900.0,False
